	page #	title	url	details	post date
15	2	WeChat Pay HK開通內地商戶支付	http://startupbeat.hkej.com/?p=67614	騰訊（00700）旗下電子錢包WeChat Pay HK昨天亦宣布，成為首個支持內地線下商戶跨境支付的電子錢包，用戶可透過WeChat Pay香港錢包於陸續開通的逾80萬家內地線下商戶，直接以港幣支付以人民幣計價的商品及服務。	Posted December 28, 2018
16	2	港大下年推金融科技學位課程	http://startupbeat.hkej.com/?p=67609	金融科技（FinTech）成為全球發展大趨勢，惟相關人才供應不足，香港大學有見及此，會於明年9月推出金融科技學位課程，每年收生約30人，並正與各機構包括數碼港和金管局研究合作，為大學生提供實習課程。	Posted December 28, 2018
17	2	俊盟受惠電子支付普及	http://startupbeat.hkej.com/?p=67575	電子支付在港普及性愈來愈高，俊盟國際（08062）（EFT）主席兼行政總裁勞俊傑接受訪問時表示，轉數快的推出令更多商戶使用電子支付。他又有信心未來可繼續維持盈利，目標希望3年後可轉到主板上市。	Posted December 27, 2018
18	2	梁永祥加盟WeLab掌虛擬銀行 金管局發牌在即 賓架懂監管吃香	http://startupbeat.hkej.com/?p=67499	港產金融科技初創公司WeLab向本報確認，已委任有「卡王」之稱的前新鴻基金融行政總裁、前恒生（00011）個人銀行業務主管梁永祥（William），為日後的虛擬銀行候任行政總裁，一旦牌照獲批，將掌管該虛擬銀行業務。	Posted December 24, 2018
19	2	本地電子錢包支付總額增30%	http://startupbeat.hkej.com/?p=67419	截至第三季度止，包括來自16家儲值支付工具持牌人數據，使用中的電子錢包賬戶總數約5410萬個，較第二季度增4.4%；而季內總支付量達15.2億宗，按年及按季升6.9%和0.9%，支付總額447.73億元，按年及按季分別飆29.7%和9.1%。	Posted December 22, 2018
20	3	fb研WhatsApp自家虛幣  資產作押或美元掛鈎遏波幅	http://startupbeat.hkej.com/?p=67411	彭博引述消息人士報道，Facebook正研發一種可以讓用戶透過其WhatsApp即時通訊程式轉賬的加密貨幣，首先將針對印度的滙款市場，如果落實，將是首家研發自家加密貨幣的科技巨擘。	Posted December 22, 2018
21	3	Bowtie奪港首個虛擬保險牌	http://startupbeat.hkej.com/?p=67382	保監局昨天批出首個經快速通道申請的全網上保險公司牌照，由Bowtie（保泰人壽保險）奪得首個牌照。保泰聯合創辦人兼行政總裁顏耀輝表示，希望在明年上半年正式開業，並推出簡單的醫療及人壽保險，每月保費可低至數以百元計。	Posted December 21, 2018
22	3	八達通手機App可拍卡領交津 明春推虛擬預付卡 供網上購物	http://startupbeat.hkej.com/?p=67331	張耀堂透露，八達通計劃於明年首季在八達通App內推出虛擬預付卡，供網上購物使用。他表示，將與Master卡合作推出虛擬預付卡，預付卡與O! ePay合為一體，用戶除本地消費外，也可在任何接受Master卡的海外網站付款。	Posted December 20, 2018
23	3	滙豐黃碧娟倡FinTech突破障礙  區塊鏈通經脈	http://startupbeat.hkej.com/?p=67168	黃碧娟提到，在「一國兩制」之下要考慮新的方法突破資本流動的限制，其中一個途徑是運用金融科技。例如封閉式的區塊鏈交易平台有助推動大灣區資金流動，支持實體經濟的交易。	Posted December 17, 2018
24	3	港銀金融科技及網安最缺才	http://startupbeat.hkej.com/?p=67111	科技發展正改變銀行及金融服務業的經營環境。調查顯示，有63%受訪者認為本地銀行業的「技能缺口」（skills gap）問題嚴重，在金融科技及網絡安全和監管及合規領域，情況尤為明顯。97%受訪者認為銀行從業員須提升金融科技知識。	Posted December 14, 2018
25	3	港區塊鏈平台Alphaslot  獲Sora Ventures領投百萬美元	http://startupbeat.hkej.com/?p=67083	香港區塊鏈科技公司Alphaslot宣布從中國 Sora Ventures等多間著名投資機構，成功獲得第二輪數百萬美元資金。參與這輪投資的機構 包括香港 Credito Capital、Shinobi Captial、荷蘭 TRG、美国 Primitive Ventures 等國際基金。	Posted December 13, 2018
26	3	東南亞初創海外發圍 Pundi X推動加密幣支付	http://startupbeat.hkej.com/?p=66859	東南亞初創Pundi X針對零售商戶推出XPOS銷售點終端機，支援加密貨幣、信用卡等多種電子錢包支付方式。Pundi X另夥拍加密貨幣交易所，在每宗XPOS交易中把加密貨幣即時兌換成當地法定貨幣，商戶毋須承受加密貨幣價格波動帶來的交易風險。	Posted December 10, 2018
27	3	滙控5年內斥164億發展科技	http://startupbeat.hkej.com/?p=66625	滙控（00005）計劃未來3至5年投資21億美元（約163.8億港元）發展科技，當中2億美元（約15.6億港元）投資金融科技，並會與不同金融科技企業合作，明言銀行與科企合作會成為金融業新趨勢，並有助銀行減低營運成本。	Posted December 4, 2018
28	3	Aviva冀全網上保險品牌擴至大灣區	http://startupbeat.hkej.com/?p=66552	Blue於兩個月前正式推出，韋嘉珣透露，由於全網上銷售保險在香港屬新模式，推廣品牌亦要以創新方式，堅決不用傳統的電視廣告，轉用KOL短片、手機遊戲和社交平台等網上渠道，兩個月內總共累積逾2000萬曝光率。	Posted December 3, 2018
29	3	比特幣之崩壞 (柏拉圖)	http://startupbeat.hkej.com/?p=66515	bitcoin 的價格又超高位大瀉打回原形是合理不過的事 。「唓！你又唔早講！」呢個世界其中一樣最不要做的事就是「阻人發達」，反正大家當日炒得咁開心時，講乜都聽唔入耳。那麼如果你手上仍然揸了各種不同的 crypto，點算好？	Posted December 1, 2018
